question,answer
What is your return policy?,"Items can be returned within 30 days of delivery, as long as they are unworn and in original packaging. Refunds are issued to the original payment method within 5-7 business days."
How long does shipping take?,"Standard shipping takes 3-5 business days within the country. Express shipping (extra fee) delivers in 1-2 business days."
Do you offer international shipping?,"Yes, we ship to over 20 countries. International delivery takes 7-14 business days depending on location."
What payment methods do you accept?,"We accept Visa, Mastercard, American Express, PayPal, and Apple Pay."
How do I know what size to order?,"Check our size guide page for a chart matching foot length in cm to shoe size. If you're between sizes, we recommend sizing up."
Can I exchange a product for a different size?,"Yes, free exchanges are available within 30 days if the item is unworn. Start an exchange from your Orders page."
Do you offer free shipping?,"Orders over $75 qualify for free standard shipping. Orders under $75 have a flat $5.99 shipping fee."
How can I track my order?,"Once your order ships, you'll receive a tracking number by email. You can also check order status in your account under My Orders."
What if I received a defective item?,"Contact support within 14 days with photos of the defect, and we'll send a free replacement or full refund, including return shipping."
Do you have a physical store?,"We are currently an online-only retailer, but we offer free returns and exchanges to make online shopping risk-free."
